High_Quality,Low_Quality,Type
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_0.jpg,processed_images\low_resolution\woman_1_0.jpg,low_resolution
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_0.jpg,processed_images\noisy\woman_1_0.jpg,noisy
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_0.jpg,processed_images\underexposed\woman_1_0.jpg,underexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_0.jpg,processed_images\overexposed\woman_1_0.jpg,overexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_0.jpg,processed_images\compressed\woman_1_0.jpg,compressed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_1.jpg,processed_images\low_resolution\woman_1_1.jpg,low_resolution
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_1.jpg,processed_images\noisy\woman_1_1.jpg,noisy
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_1.jpg,processed_images\underexposed\woman_1_1.jpg,underexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_1.jpg,processed_images\overexposed\woman_1_1.jpg,overexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_1.jpg,processed_images\compressed\woman_1_1.jpg,compressed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_10.jpg,processed_images\low_resolution\woman_1_10.jpg,low_resolution
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_10.jpg,processed_images\noisy\woman_1_10.jpg,noisy
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_10.jpg,processed_images\underexposed\woman_1_10.jpg,underexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_10.jpg,processed_images\overexposed\woman_1_10.jpg,overexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_10.jpg,processed_images\compressed\woman_1_10.jpg,compressed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_100.jpg,processed_images\low_resolution\woman_1_100.jpg,low_resolution
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_100.jpg,processed_images\noisy\woman_1_100.jpg,noisy
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_100.jpg,processed_images\underexposed\woman_1_100.jpg,underexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_100.jpg,processed_images\overexposed\woman_1_100.jpg,overexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_100.jpg,processed_images\compressed\woman_1_100.jpg,compressed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_101.jpg,processed_images\low_resolution\woman_1_101.jpg,low_resolution
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_101.jpg,processed_images\noisy\woman_1_101.jpg,noisy
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_101.jpg,processed_images\underexposed\woman_1_101.jpg,underexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_101.jpg,processed_images\overexposed\woman_1_101.jpg,overexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_101.jpg,processed_images\compressed\woman_1_101.jpg,compressed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_102.jpg,processed_images\low_resolution\woman_1_102.jpg,low_resolution
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_102.jpg,processed_images\noisy\woman_1_102.jpg,noisy
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_102.jpg,processed_images\underexposed\woman_1_102.jpg,underexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_102.jpg,processed_images\overexposed\woman_1_102.jpg,overexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_102.jpg,processed_images\compressed\woman_1_102.jpg,compressed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_103.jpg,processed_images\low_resolution\woman_1_103.jpg,low_resolution
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_103.jpg,processed_images\noisy\woman_1_103.jpg,noisy
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_103.jpg,processed_images\underexposed\woman_1_103.jpg,underexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_103.jpg,processed_images\overexposed\woman_1_103.jpg,overexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_103.jpg,processed_images\compressed\woman_1_103.jpg,compressed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_104.jpg,processed_images\low_resolution\woman_1_104.jpg,low_resolution
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_104.jpg,processed_images\noisy\woman_1_104.jpg,noisy
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_104.jpg,processed_images\underexposed\woman_1_104.jpg,underexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_104.jpg,processed_images\overexposed\woman_1_104.jpg,overexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_104.jpg,processed_images\compressed\woman_1_104.jpg,compressed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_105.jpg,processed_images\low_resolution\woman_1_105.jpg,low_resolution
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_105.jpg,processed_images\noisy\woman_1_105.jpg,noisy
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_105.jpg,processed_images\underexposed\woman_1_105.jpg,underexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_105.jpg,processed_images\overexposed\woman_1_105.jpg,overexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_105.jpg,processed_images\compressed\woman_1_105.jpg,compressed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_106.jpg,processed_images\low_resolution\woman_1_106.jpg,low_resolution
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_106.jpg,processed_images\noisy\woman_1_106.jpg,noisy
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_106.jpg,processed_images\underexposed\woman_1_106.jpg,underexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_106.jpg,processed_images\overexposed\woman_1_106.jpg,overexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_106.jpg,processed_images\compressed\woman_1_106.jpg,compressed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_107.jpg,processed_images\low_resolution\woman_1_107.jpg,low_resolution
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_107.jpg,processed_images\noisy\woman_1_107.jpg,noisy
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_107.jpg,processed_images\underexposed\woman_1_107.jpg,underexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_107.jpg,processed_images\overexposed\woman_1_107.jpg,overexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_107.jpg,processed_images\compressed\woman_1_107.jpg,compressed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_108.jpg,processed_images\low_resolution\woman_1_108.jpg,low_resolution
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_108.jpg,processed_images\noisy\woman_1_108.jpg,noisy
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_108.jpg,processed_images\underexposed\woman_1_108.jpg,underexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_108.jpg,processed_images\overexposed\woman_1_108.jpg,overexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_108.jpg,processed_images\compressed\woman_1_108.jpg,compressed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_109.jpg,processed_images\low_resolution\woman_1_109.jpg,low_resolution
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_109.jpg,processed_images\noisy\woman_1_109.jpg,noisy
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_109.jpg,processed_images\underexposed\woman_1_109.jpg,underexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_109.jpg,processed_images\overexposed\woman_1_109.jpg,overexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_109.jpg,processed_images\compressed\woman_1_109.jpg,compressed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_11.jpg,processed_images\low_resolution\woman_1_11.jpg,low_resolution
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_11.jpg,processed_images\noisy\woman_1_11.jpg,noisy
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_11.jpg,processed_images\underexposed\woman_1_11.jpg,underexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_11.jpg,processed_images\overexposed\woman_1_11.jpg,overexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_11.jpg,processed_images\compressed\woman_1_11.jpg,compressed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_110.jpg,processed_images\low_resolution\woman_1_110.jpg,low_resolution
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_110.jpg,processed_images\noisy\woman_1_110.jpg,noisy
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_110.jpg,processed_images\underexposed\woman_1_110.jpg,underexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_110.jpg,processed_images\overexposed\woman_1_110.jpg,overexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_110.jpg,processed_images\compressed\woman_1_110.jpg,compressed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_111.jpg,processed_images\low_resolution\woman_1_111.jpg,low_resolution
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_111.jpg,processed_images\noisy\woman_1_111.jpg,noisy
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_111.jpg,processed_images\underexposed\woman_1_111.jpg,underexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_111.jpg,processed_images\overexposed\woman_1_111.jpg,overexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_111.jpg,processed_images\compressed\woman_1_111.jpg,compressed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_112.jpg,processed_images\low_resolution\woman_1_112.jpg,low_resolution
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_112.jpg,processed_images\noisy\woman_1_112.jpg,noisy
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_112.jpg,processed_images\underexposed\woman_1_112.jpg,underexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_112.jpg,processed_images\overexposed\woman_1_112.jpg,overexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_112.jpg,processed_images\compressed\woman_1_112.jpg,compressed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_113.jpg,processed_images\low_resolution\woman_1_113.jpg,low_resolution
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_113.jpg,processed_images\noisy\woman_1_113.jpg,noisy
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_113.jpg,processed_images\underexposed\woman_1_113.jpg,underexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_113.jpg,processed_images\overexposed\woman_1_113.jpg,overexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_113.jpg,processed_images\compressed\woman_1_113.jpg,compressed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_114.jpg,processed_images\low_resolution\woman_1_114.jpg,low_resolution
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_114.jpg,processed_images\noisy\woman_1_114.jpg,noisy
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_114.jpg,processed_images\underexposed\woman_1_114.jpg,underexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_114.jpg,processed_images\overexposed\woman_1_114.jpg,overexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_114.jpg,processed_images\compressed\woman_1_114.jpg,compressed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_115.jpg,processed_images\low_resolution\woman_1_115.jpg,low_resolution
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_115.jpg,processed_images\noisy\woman_1_115.jpg,noisy
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_115.jpg,processed_images\underexposed\woman_1_115.jpg,underexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_115.jpg,processed_images\overexposed\woman_1_115.jpg,overexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_115.jpg,processed_images\compressed\woman_1_115.jpg,compressed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_116.jpg,processed_images\low_resolution\woman_1_116.jpg,low_resolution
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_116.jpg,processed_images\noisy\woman_1_116.jpg,noisy
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_116.jpg,processed_images\underexposed\woman_1_116.jpg,underexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_116.jpg,processed_images\overexposed\woman_1_116.jpg,overexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_116.jpg,processed_images\compressed\woman_1_116.jpg,compressed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_117.jpg,processed_images\low_resolution\woman_1_117.jpg,low_resolution
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_117.jpg,processed_images\noisy\woman_1_117.jpg,noisy
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_117.jpg,processed_images\underexposed\woman_1_117.jpg,underexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_117.jpg,processed_images\overexposed\woman_1_117.jpg,overexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_117.jpg,processed_images\compressed\woman_1_117.jpg,compressed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_118.jpg,processed_images\low_resolution\woman_1_118.jpg,low_resolution
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_118.jpg,processed_images\noisy\woman_1_118.jpg,noisy
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_118.jpg,processed_images\underexposed\woman_1_118.jpg,underexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_118.jpg,processed_images\overexposed\woman_1_118.jpg,overexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_118.jpg,processed_images\compressed\woman_1_118.jpg,compressed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_119.jpg,processed_images\low_resolution\woman_1_119.jpg,low_resolution
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_119.jpg,processed_images\noisy\woman_1_119.jpg,noisy
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_119.jpg,processed_images\underexposed\woman_1_119.jpg,underexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_119.jpg,processed_images\overexposed\woman_1_119.jpg,overexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_119.jpg,processed_images\compressed\woman_1_119.jpg,compressed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_12.jpg,processed_images\low_resolution\woman_1_12.jpg,low_resolution
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_12.jpg,processed_images\noisy\woman_1_12.jpg,noisy
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_12.jpg,processed_images\underexposed\woman_1_12.jpg,underexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_12.jpg,processed_images\overexposed\woman_1_12.jpg,overexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_12.jpg,processed_images\compressed\woman_1_12.jpg,compressed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_120.jpg,processed_images\low_resolution\woman_1_120.jpg,low_resolution
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_120.jpg,processed_images\noisy\woman_1_120.jpg,noisy
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_120.jpg,processed_images\underexposed\woman_1_120.jpg,underexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_120.jpg,processed_images\overexposed\woman_1_120.jpg,overexposed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_120.jpg,processed_images\compressed\woman_1_120.jpg,compressed
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_121.jpg,processed_images\low_resolution\woman_1_121.jpg,low_resolution
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_121.jpg,processed_images\noisy\woman_1_121.jpg,noisy
C:\Users\rahul\OneDrive\Desktop\AML2203 Advance Python\Project\images\woman\woman_1_121.jpg,processed_images\underexposed\woman_1_121.jpg,underexposed
